REGION_NAME     ,DIVISION_NAME   ,COUNCIL_NAME              ,POLLING_STATION                                  ,POLLING_STATIONS_COUNT
                ,                ,                          ,ECOLE PUBLIQUE NGUITTI / A                       ,1
                ,                ,                          ,ECOLE PUBLIQUE PANGAR / A                        ,1
                ,                ,                          ,ECOLE PUBLIQUE PANGAR / B                        ,1
                ,                ,                          ,ECOLE PUBLIQUE PANGAR / C                        ,1
                ,                ,                          ,ECOLE PUBLIQUE SALLO-ABEL / A                    ,1
                ,                ,                          ,LYCEE BILINGUE NGAOUNDAL / A                     ,1
                ,                ,                          ,LYCEE BILINGUE NGAOUNDAL / B                     ,1
                ,                ,                          ,LYCEE CLASSIQUE NGAOUNDAL / A                    ,1
                ,                ,                          ,LYCEE CLASSIQUE NGAOUNDAL / B                    ,1
                ,                ,                          ,LYCEE TECHNIQUE NGAOUNDAL / A                    ,1
                ,                ,                          ,LYCEE TECHNIQUE NGAOUNDAL / B                    ,1
                ,                ,                          ,LYCEE TECHNIQUE NGAOUNDAL / C                    ,1
                ,                ,                          ,LYCEE TECHNIQUE NGAOUNDAL / D                    ,1
                ,                ,                          ,LYCEE TECHNIQUE NGAOUNDAL / E                    ,1
                ,                ,                          ,OFFICE CEREALIER CPEFAN / A                      ,1
                ,                ,                          ,OFFICE CEREALIER CPEFAN / B                      ,1
                ,                ,TIBATI                    ,                                                 ,94
                ,                ,                          ,BIBLIOTHEQUE FACE MC2 / A                        ,1
                ,                ,                          ,BRIGADE GENDARMERIE / A                          ,1
                ,                ,                          ,CENTRE PROM FEMME ET FAMILLE / A                 ,1
                ,                ,                          ,CENTRE PROM FEMME ET FAMILLE / B                 ,1
                ,                ,                          ,CENTRE PROM FEMME ET FAMILLE / C                 ,1
                ,                ,                          ,CES MENG / A                                     ,1
                ,                ,                          ,DD SPORTS ET EDUCATION PHYSIQUE / A              ,1
                ,                ,                          ,DD SPORTS ET EDUCATION PHYSIQUE / B              ,1
                ,                ,                          ,E PRIVEE CATHOLIQUE SAINT JOSEPH / A             ,1
                ,                ,                          ,E PRIVEE CATHOLIQUE SAINT JOSEPH / B             ,1
                ,                ,                          ,E PRIVEE CATHOLIQUE SAINT JOSEPH / C             ,1
                ,                ,                          ,E PRIVEE PROTESTANTE NGAOUBELA / A               ,1
                ,                ,                          ,E PRIVEE PROTESTANTE NGAOUBELA / B               ,1
                ,                ,                          ,E.P DE DJAOURO-GARGA / A                         ,1
                ,                ,                          ,ECOLE DES PARENTS DE GASSOL-PANG / A             ,1
                ,                ,                          ,ECOLE DES PARENTS MAABER / A                     ,1
                ,                ,                          ,ECOLE DES PARENTS SAMBA / A                      ,1
                ,                ,                          ,ECOLE FRANCO-ARABE DU LAMIDAT / A                ,1
                ,                ,                          ,ECOLE FRANCO-ARABE DU LAMIDAT / B                ,1
                ,                ,                          ,ECOLE FRANCO-ARABE DU LAMIDAT / C                ,1
                ,                ,                          ,ECOLE PUBLIQUE ALAMISSA / A                      ,1
                ,                ,                          ,ECOLE PUBLIQUE ALLAT MENGACK / A                 ,1
                ,                ,                          ,ECOLE PUBLIQUE ALLAT MENGACK / B                 ,1
                ,                ,                          ,ECOLE PUBLIQUE ALLAT MENGACK / C                 ,1
                ,                ,                          ,ECOLE PUBLIQUE BANTAI / A                        ,1
                ,                ,                          ,ECOLE PUBLIQUE BAROODE / A                       ,1
                ,                ,                          ,ECOLE PUBLIQUE BAROODE / B                       ,1
                ,                ,                          ,ECOLE PUBLIQUE BONINTING / A                     ,1
                ,                ,                          ,ECOLE PUBLIQUE BOUBALA / A                       ,1
                ,                ,                          ,ECOLE PUBLIQUE DABER / A                         ,1
                ,                ,                          ,ECOLE PUBLIQUE DABER / B                         ,1
                ,                ,                          ,ECOLE PUBLIQUE DJOMBI / A                        ,1
                ,                ,                          ,ECOLE PUBLIQUE DJOMBI / B                        ,1
                ,                ,                          ,ECOLE PUBLIQUE GROUPE 4 YOKO / A                 ,1
                ,                ,                          ,ECOLE PUBLIQUE GROUPE I / A                      ,1
                ,                ,                          ,ECOLE PUBLIQUE GROUPE I / B                      ,1
                ,                ,                          ,ECOLE PUBLIQUE GROUPE I / C                      ,1
                ,                ,                          ,ECOLE PUBLIQUE GROUPE IV YOKO / A                ,1
                ,                ,                          ,ECOLE PUBLIQUE GROUPE IV YOKO / B                ,1
                ,                ,                          ,ECOLE PUBLIQUE GROUPE IV YOKO / C                ,1
                ,                ,                          ,ECOLE PUBLIQUE KANDJE / A                        ,1
                ,                ,                          ,ECOLE PUBLIQUE KOATA / A                         ,1
                ,                ,                          ,ECOLE PUBLIQUE KOATA / B                         ,1
                ,                ,                          ,ECOLE PUBLIQUE LAINDE NGOUDA / A                 ,1
                ,                ,                          ,ECOLE PUBLIQUE LIBOUM / A                        ,1
                ,                ,                          ,ECOLE PUBLIQUE MAHOR / A                         ,1
                ,                ,                          ,ECOLE PUBLIQUE MAISSABA / A                      ,1
                ,                ,                          ,ECOLE PUBLIQUE MALARBA I / A                     ,1
                ,                ,                          ,ECOLE PUBLIQUE MALARBA I / B                     ,1
                ,                ,                          ,ECOLE PUBLIQUE MALARBA I / C                     ,1
                ,                ,                          ,ECOLE PUBLIQUE MALARBA II / A                    ,1
                ,                ,                          ,ECOLE PUBLIQUE MALARBA II / B                    ,1
                ,                ,                          ,ECOLE PUBLIQUE MALARBA II / C                    ,1
                ,                ,                          ,ECOLE PUBLIQUE MALARBA II / D                    ,1
                ,                ,                          ,ECOLE PUBLIQUE MARMA / A                         ,1
                ,                ,                          ,ECOLE PUBLIQUE MASSE / A                         ,1
                ,                ,                          ,ECOLE PUBLIQUE MBAKAOU / A                       ,1
                ,                ,                          ,ECOLE PUBLIQUE MBAKAOU / B                       ,1
                ,                ,                          ,ECOLE PUBLIQUE MBAKAOU / C                       ,1
                ,                ,                          ,ECOLE PUBLIQUE MBAMTI / A                        ,1
                ,                ,                          ,ECOLE PUBLIQUE MBANGTI-MBANG / A                 ,1
                ,                ,                          ,ECOLE PUBLIQUE MBELLA ASSOM / A                  ,1
                ,                ,                          ,ECOLE PUBLIQUE MBIRIM / A                        ,1
                ,                ,                          ,ECOLE PUBLIQUE MBIRIM / B                        ,1
                ,                ,                          ,ECOLE PUBLIQUE MBIRIM / C                        ,1
                ,                ,                          ,ECOLE PUBLIQUE MBITOM / A                        ,1
