REGION_NAME     ,DIVISION_NAME   ,COUNCIL_NAME              ,POLLING_STATION                                  ,POLLING_STATIONS_COUNT
                ,                ,                          ,CAMP YEYAP / C                                   ,1
                ,                ,                          ,CAMP YEYAP / D                                   ,1
                ,                ,                          ,CAMP YEYAP / E                                   ,1
                ,                ,                          ,CAMP YEYAP / F                                   ,1
                ,                ,                          ,CENTRE CATHOLIQUE UNIVERSITAIRE / A              ,1
                ,                ,                          ,CENTRE CATHOLIQUE UNIVERSITAIRE / B              ,1
                ,                ,                          ,CENTRE CATHOLIQUE UNIVERSITAIRE / C              ,1
                ,                ,                          ,CENTRE CATHOLIQUE UNIVERSITAIRE / D              ,1
                ,                ,                          ,CENTRE DE FORMATION GREFPEH / A                  ,1
                ,                ,                          ,CENTRE DE SANTE MARC VIVIEN FOE / A              ,1
                ,                ,                          ,CENTRE DE SANTE MARC VIVIEN FOE / B              ,1
                ,                ,                          ,CENTRE DE SANTE MARC VIVIEN FOE / C              ,1
                ,                ,                          ,CENTRE D'ETAT CIVIL DE NFON ALEN / A             ,1
                ,                ,                          ,CENTRE D'ETAT CIVIL DE NFON ALEN / B             ,1
                ,                ,                          ,CENTRE D'ETAT CIVIL D'ETOUG- EBE / A             ,1
                ,                ,                          ,CENTRE D'ETAT CIVIL D'ETOUG- EBE / B             ,1
                ,                ,                          ,CENTRE D'ETAT CIVIL D'ETOUG- EBE / C             ,1
                ,                ,                          ,COLLEGE EBANDA / A                               ,1
                ,                ,                          ,COLLEGE EBANDA / B                               ,1
                ,                ,                          ,COLLEGE EBANDA / C                               ,1
                ,                ,                          ,COLLEGE EBANDA / D                               ,1
                ,                ,                          ,COLLEGE EBANDA / E                               ,1
                ,                ,                          ,COLLEGE EBANDA / F                               ,1
                ,                ,                          ,COLLEGE ESPERANCE AKOA-NDOE II / A               ,1
                ,                ,                          ,COLLEGE ESPERANCE AKOA-NDOE II / B               ,1
                ,                ,                          ,COLLEGE ESPERANCE AKOA-NDOE II / C               ,1
                ,                ,                          ,COLLEGE FLEMING / A                              ,1
                ,                ,                          ,COLLEGE FLEMING / B                              ,1
                ,                ,                          ,COLLEGE FLEMING / C                              ,1
                ,                ,                          ,COLLEGE FLEMING / D                              ,1
                ,                ,                          ,COLLEGE IPONI / A                                ,1
                ,                ,                          ,COLLEGE IPONI / B                                ,1
                ,                ,                          ,COLLEGE IPONI / C                                ,1
                ,                ,                          ,COLLEGE IPONI / D                                ,1
                ,                ,                          ,COLLEGE IPONI / E                                ,1
                ,                ,                          ,COLLEGE IPONI / F                                ,1
                ,                ,                          ,COLLEGE JEAN JAURES / A                          ,1
                ,                ,                          ,COLLEGE JEAN JAURES / B                          ,1
                ,                ,                          ,COLLEGE JEAN JAURES / C                          ,1
                ,                ,                          ,COLLEGE JEAN JAURES / D                          ,1
                ,                ,                          ,COLLEGE JEAN JAURES / E                          ,1
                ,                ,                          ,COLLEGE LA GRACE / A                             ,1
                ,                ,                          ,COLLEGE LA GRACE / B                             ,1
                ,                ,                          ,COLLEGE LA GRACE / C                             ,1
                ,                ,                          ,COLLEGE LA GRACE / D                             ,1
                ,                ,                          ,COLLEGE LA GRACE / E                             ,1
                ,                ,                          ,COLLEGE LA GRACE / F                             ,1
                ,                ,                          ,COLLEGE LE SAVOIR / A                            ,1
                ,                ,                          ,COLLEGE LE SAVOIR / B                            ,1
                ,                ,                          ,COLLEGE LES AIGLONS / A                          ,1
                ,                ,                          ,COLLEGE LES AIGLONS / B                          ,1
                ,                ,                          ,COLLEGE LES AIGLONS / C                          ,1
                ,                ,                          ,COLLEGE LES AIGLONS / D                          ,1
                ,                ,                          ,COLLEGE LES AIGLONS / E                          ,1
                ,                ,                          ,COLLEGE LES AIGLONS / F                          ,1
                ,                ,                          ,COLLEGE MEVICK / A                               ,1
                ,                ,                          ,COLLEGE MEVICK / B                               ,1
                ,                ,                          ,COLLEGE MEVICK / C                               ,1
                ,                ,                          ,COLLEGE MEVICK / D                               ,1
                ,                ,                          ,COLLEGE MEVICK / E                               ,1
                ,                ,                          ,COLLEGE MEVICK / F                               ,1
                ,                ,                          ,COMMISSARIAT DE MENDONG / A                      ,1
                ,                ,                          ,COMMISSARIAT DE MENDONG / B                      ,1
                ,                ,                          ,COMPLEXE SCOLAIRE COSBIE / A                     ,1
                ,                ,                          ,COMPLEXE SCOLAIRE COSBIE / B                     ,1
                ,                ,                          ,COMPLEXE SCOLAIRE COSBIE / C                     ,1
                ,                ,                          ,COMPLEXE SCOLAIRE COSBIE / D                     ,1
                ,                ,                          ,COMPLEXE SCOLAIRE COSBIE / E                     ,1
                ,                ,                          ,COMPLEXE SCOLAIRE COSBIE / F                     ,1
                ,                ,                          ,COMPLEXE SCOLAIRE MARC ESSO / A                  ,1
                ,                ,                          ,COMPLEXE SCOLAIRE MARC ESSO / B                  ,1
                ,                ,                          ,COMPLEXE SCOLAIRE MARC ESSO / C                  ,1
                ,                ,                          ,COMPLEXE SCOLAIRE MARC ESSO / D                  ,1
                ,                ,                          ,E. M. PRIVEE FOUDA MEKINDA / A                   ,1
                ,                ,                          ,E. M. PRIVEE FOUDA MEKINDA / B                   ,1
                ,                ,                          ,E. M. PRIVEE FOUDA MEKINDA / C                   ,1
                ,                ,                          ,E. M. PRIVEE FOUDA MEKINDA / D                   ,1
                ,                ,                          ,E. M. PRIVEE FOUDA MEKINDA / E                   ,1
                ,                ,                          ,E. M. PRIVEE FOUDA MEKINDA / F                   ,1
                ,                ,                          ,E. M. PRIVEE FOUDA MEKINDA / G                   ,1
                ,                ,                          ,E. M. PRIVEE FOUDA MEKINDA / H                   ,1
                ,                ,                          ,E. M. PRIVEE FOUDA MEKINDA / I                   ,1
                ,                ,                          ,E. M. PRIVEE FOUDA MEKINDA / J                   ,1
                ,                ,                          ,E. M. PRIVEE FOUDA MEKINDA / K                   ,1
                ,                ,                          ,ECOLE BILINGUE BIYEM-ASSI / A                    ,1
                ,                ,                          ,ECOLE BILINGUE BIYEM-ASSI / B                    ,1
                ,                ,                          ,ECOLE BILINGUE BIYEM-ASSI / C                    ,1
                ,                ,                          ,ECOLE JERUSALEM / A                              ,1
                ,                ,                          ,ECOLE JERUSALEM / B                              ,1
                ,                ,                          ,ECOLE JERUSALEM / C                              ,1
                ,                ,                          ,ECOLE MAT ANGLOPHONE / A                         ,1
                ,                ,                          ,ECOLE PRIVEE CATHOLIQUE DE MELEN 9 / A           ,1
                ,                ,                          ,ECOLE PRIVEE CATHOLIQUE DE MELEN 9 / B           ,1
                ,                ,                          ,ECOLE PRIVEE CATHOLIQUE DE MELEN 9 / C           ,1
                ,                ,                          ,ECOLE PRIVEE CATHOLIQUE DE MELEN 9 / D           ,1
                ,                ,                          ,ECOLE PRIVEE CATHOLIQUE DE MELEN 9 / E           ,1
                ,                ,                          ,ECOLE PRIVEE CATHOLIQUE DE MELEN 9 / F           ,1
                ,                ,                          ,ECOLE PRIVEE CATHOLIQUE DE MELEN 9 / G           ,1
                ,                ,                          ,ECOLE PRIVEE CATHOLIQUE DE MELEN 9 / H           ,1
                ,                ,                          ,ECOLE PRIVEE LA LUMIERE / A                      ,1
                ,                ,                          ,ECOLE PRIVEE LA LUMIERE / B                      ,1
                ,                ,                          ,ECOLE PRIVEE LA LUMIERE / C                      ,1
                ,                ,                          ,ECOLE PRIVEE LA LUMIERE / D                      ,1
                ,                ,                          ,ECOLE PRIVEE LA LUMIERE / E                      ,1
                ,                ,                          ,ECOLE PRIVEE LES LAPEREAUX / A                   ,1
                ,                ,                          ,ECOLE PRIVEE LES LAPEREAUX / B                   ,1
                ,                ,                          ,ECOLE PRIVEE LES LAPEREAUX / C                   ,1
                ,                ,                          ,ECOLE PRIVEE LES PETITS CHAPERONS / A            ,1
                ,                ,                          ,ECOLE PRIVEE LES PETITS CHAPERONS / B            ,1
                ,                ,                          ,ECOLE PRIVEE LES PETITS CHAPERONS / C            ,1
                ,                ,                          ,ECOLE PRIVEE LES PETITS CHAPERONS / D            ,1
                ,                ,                          ,ECOLE PRIVEE LES PIGEONS / A                     ,1
                ,                ,                          ,ECOLE PRIVEE LES PIGEONS / B                     ,1
                ,                ,                          ,ECOLE PRIVEE TOCHE / A                           ,1
                ,                ,                          ,ECOLE PRIVEE VICTOR HUGO / A                     ,1
                ,                ,                          ,ECOLE PRIVEE VICTOR HUGO / B                     ,1
                ,                ,                          ,ECOLE PRIVEE VICTOR HUGO / C                     ,1
                ,                ,                          ,ECOLE PUBLIQUE BILINGUE BIYEM-ASSI / A           ,1
                ,                ,                          ,ECOLE PUBLIQUE BILINGUE BIYEM-ASSI / B           ,1
                ,                ,                          ,ECOLE PUBLIQUE BILINGUE BIYEM-ASSI / C           ,1
                ,                ,                          ,ECOLE PUBLIQUE DE MENDONG / A                    ,1
                ,                ,                          ,ECOLE PUBLIQUE DE MENDONG / B                    ,1
                ,                ,                          ,ECOLE PUBLIQUE DE MENDONG / C                    ,1
                ,                ,                          ,ECOLE PUBLIQUE DE MENDONG / D                    ,1
                ,                ,                          ,ECOLE PUBLIQUE DE MENDONG / E                    ,1
                ,                ,                          ,ECOLE PUBLIQUE DE MENDONG / F                    ,1
                ,                ,                          ,ECOLE PUBLIQUE DE MENDONG / G                    ,1
                ,                ,                          ,ECOLE PUBLIQUE DE MENDONG / H                    ,1
                ,                ,                          ,ECOLE PUBLIQUE DE MENDONG / I                    ,1
                ,                ,                          ,ECOLE PUBLIQUE DE MENDONG / J                    ,1
                ,                ,                          ,ECOLE PUBLIQUE DE MENDONG / K                    ,1
                ,                ,                          ,ECOLE PUBLIQUE DE MVOG-BETSI / A                 ,1
                ,                ,                          ,ECOLE PUBLIQUE DE MVOG-BETSI / B                 ,1
                ,                ,                          ,ECOLE PUBLIQUE DE MVOG-BETSI / C                 ,1
                ,                ,                          ,ECOLE PUBLIQUE DE MVOG-BETSI / D                 ,1
                ,                ,                          ,ECOLE PUBLIQUE DE MVOG-BETSI / E                 ,1
                ,                ,                          ,ECOLE PUBLIQUE NKOM-NKANA MENDONG / A            ,1
                ,                ,                          ,ECOLE PUBLIQUE NKOM-NKANA MENDONG / B            ,1
                ,                ,                          ,ECOLE PUBLIQUE NKOM-NKANA MENDONG / C            ,1
                ,                ,                          ,ECOLE PUBLIQUE SIMBOCK / A                       ,1
                ,                ,                          ,ECOLE PUBLIQUE SIMBOCK / B                       ,1
                ,                ,                          ,ENIEG PRIVEE DE NKOLZIE / A                      ,1
                ,                ,                          ,ENIEG PRIVEE DE NKOLZIE / B                      ,1
                ,                ,                          ,ENIEG PRIVEE DE NKOLZIE / C                      ,1
                ,                ,                          ,ENSTP / A                                        ,1
                ,                ,                          ,ENSTP / B                                        ,1
                ,                ,                          ,ENSTP / C                                        ,1
                ,                ,                          ,ENSTP / D                                        ,1
                ,                ,                          ,ENSTP / E                                        ,1
                ,                ,                          ,ENSTP / F                                        ,1
                ,                ,                          ,ETOUG-EBE CENTRE / A                             ,1
                ,                ,                          ,ETOUG-EBE CENTRE / B                             ,1
                ,                ,                          ,ETOUG-EBE CENTRE / C                             ,1
                ,                ,                          ,ETOUG-EBE CENTRE / D                             ,1
                ,                ,                          ,ETOUG-EBE CENTRE / E                             ,1
                ,                ,                          ,ETOUG-EBE CENTRE / F                             ,1
                ,                ,                          ,ETOUG-EBE CENTRE / G                             ,1
                ,                ,                          ,ETOUG-EBE CENTRE / H                             ,1
                ,                ,                          ,ETOUG-EBE CENTRE / I                             ,1
                ,                ,                          ,GP MELEN / A                                     ,1
                ,                ,                          ,GP MELEN / B                                     ,1
                ,                ,                          ,GP MELEN / C                                     ,1
                ,                ,                          ,GP MELEN / D                                     ,1
                ,                ,                          ,GP MELEN / E                                     ,1
                ,                ,                          ,GP MELEN / F                                     ,1
                ,                ,                          ,GP MELEN / G                                     ,1
                ,                ,                          ,GP MELEN / H                                     ,1
                ,                ,                          ,GP MELEN / I                                     ,1
                ,                ,                          ,GROUPE SCOL. BIL. ROSY ET LES PETITS / A         ,1
                ,                ,                          ,GROUPE SCOL. BIL. ROSY ET LES PETITS / B         ,1
                ,                ,                          ,HILL SIDE SCHOOL / A                             ,1
                ,                ,                          ,HILL SIDE SCHOOL / B                             ,1
                ,                ,                          ,HOLY INFANT SCHOOL / A                           ,1
                ,                ,                          ,HOLY INFANT SCHOOL / B                           ,1
                ,                ,                          ,HOLY INFANT SCHOOL / C                           ,1
                ,                ,                          ,HOLY INFANT SCHOOL / D                           ,1
                ,                ,                          ,HOLY INFANT SCHOOL / E                           ,1
                ,                ,                          ,HOLY INFANT SCHOOL / F                           ,1
                ,                ,                          ,HOLY INFANT SCHOOL / G                           ,1
                ,                ,                          ,HOLY INFANT SCHOOL / H                           ,1
                ,                ,                          ,ISEIG / A                                        ,1
                ,                ,                          ,ISEIG / B                                        ,1
                ,                ,                          ,ISEIG / C                                        ,1
                ,                ,                          ,LINDA ET LES CHATONS / A                         ,1
                ,                ,                          ,LINDA ET LES CHATONS / B                         ,1
                ,                ,                          ,LINDA ET LES CHATONS / C                         ,1
                ,                ,                          ,LINDA ET LES CHATONS / D                         ,1
                ,                ,                          ,LYCEE BILINGUE D'ETOUG-EBE / A                   ,1
                ,                ,                          ,LYCEE BILINGUE D'ETOUG-EBE / B                   ,1
                ,                ,                          ,LYCEE BILINGUE D'ETOUG-EBE / C                   ,1
                ,                ,                          ,LYCEE BILINGUE D'ETOUG-EBE / D                   ,1
                ,                ,                          ,LYCEE BILINGUE D'ETOUG-EBE / E                   ,1
                ,                ,                          ,LYCEE BILINGUE D'ETOUG-EBE / F                   ,1
                ,                ,                          ,LYCEE BILINGUE D'ETOUG-EBE / H                   ,1
                ,                ,                          ,LYCEE BILINGUE D'ETOUG-EBE / I                   ,1
                ,                ,                          ,LYCEE BILINGUE D'ETOUG-EBE / J                   ,1
                ,                ,                          ,LYCEE MENDONG / A                                ,1
                ,                ,                          ,LYCEE MENDONG / B                                ,1
                ,                ,                          ,LYCEE MENDONG / C                                ,1
                ,                ,                          ,LYCEE MENDONG / D                                ,1
                ,                ,                          ,OPERA LES SEMENCES / A                           ,1
                ,                ,                          ,OPERA LES SEMENCES / B                           ,1
                ,                ,                          ,OPERA LES SEMENCES / C                           ,1
                ,                ,                          ,SIMBOCK BASE MILITAIRE / A                       ,1
                ,                ,                          ,SIMBOCK BASE MILITAIRE / B                       ,1
                ,                ,                          ,SIMBOCK BASE MILITAIRE / C                       ,1
                ,                ,YAOUNDE VII               ,                                                 ,108
                ,                ,                          ,BAT ADM IRAD / A                                 ,1
                ,                ,                          ,BAT ADM IRAD / B                                 ,1
                ,                ,                          ,BEATITUDES INTERNATIONAL SCHOOL / A              ,1
                ,                ,                          ,BEATITUDES INTERNATIONAL SCHOOL / B              ,1
                ,                ,                          ,BEATITUDES INTERNATIONAL SCHOOL / C              ,1
                ,                ,                          ,BEATITUDES INTERNATIONAL SCHOOL / D              ,1
                ,                ,                          ,CENTRE AGRONOMIQUE / A                           ,1
                ,                ,                          ,CENTRE DE SANTE EBOD MEFOU / A                   ,1
                ,                ,                          ,CENTRE DE SANTE EBOD MEFOU / B                   ,1
                ,                ,                          ,CENTRE DE SANTE EBOD MEFOU / C                   ,1
                ,                ,                          ,CLUB AGRONOMIQUE / A                             ,1
                ,                ,                          ,COLLEGE DE LA PAIX / A                           ,1
                ,                ,                          ,COLLEGE DE LA PAIX / B                           ,1
                ,                ,                          ,COLLEGE DE LA PAIX / C                           ,1
                ,                ,                          ,COLLEGE POLYVALENTS LA PERLE / A                 ,1
                ,                ,                          ,COLLEGE PR MEYONG MEYEME / A                     ,1
                ,                ,                          ,COLLEGE PR MEYONG MEYEME / B                     ,1
                ,                ,                          ,COLLEGE PR MEYONG MEYEME / C                     ,1
                ,                ,                          ,COLLEGE PR MEYONG MEYEME / D                     ,1
                ,                ,                          ,COLLEGE PR MEYONG MEYEME / E                     ,1
                ,                ,                          ,COMPLEXE SCOLAIRE BISTA / A                      ,1
                ,                ,                          ,COMPLEXE SCOLAIRE BISTA / B                      ,1
                ,                ,                          ,COMPLEXE SCOLAIRE BISTA / C                      ,1
                ,                ,                          ,E. BIL. MARVELOUS / A                            ,1
                ,                ,                          ,E. CATH. ST VINCENT DE PAUL / A                  ,1
                ,                ,                          ,E. P LES MARGUERITES / A                         ,1
                ,                ,                          ,E. P LES MARGUERITES / B                         ,1
                ,                ,                          ,E. P LES MARGUERITES / C                         ,1
                ,                ,                          ,E. P OYOM ABANG / A                              ,1
                ,                ,                          ,E. P OYOM ABANG / B                              ,1
                ,                ,                          ,E. P OYOM ABANG / C                              ,1
                ,                ,                          ,E. P OYOM ABANG / D                              ,1
                ,                ,                          ,E. P OYOM ABANG / E                              ,1
                ,                ,                          ,E. P OYOM ABANG / F                              ,1
                ,                ,                          ,E. P. EKOROZOCK / A                              ,1
                ,                ,                          ,E. P. EKOROZOCK / B                              ,1
                ,                ,                          ,E. P. EKOROZOCK / C                              ,1
                ,                ,                          ,E. P. EKOROZOCK / D                              ,1
                ,                ,                          ,E. PR KAMDZONA / A                               ,1
                ,                ,                          ,E. PR KAMDZONA / B                               ,1
                ,                ,                          ,E. PR KAMDZONA / C                               ,1
                ,                ,                          ,E. PR KAMDZONA / D                               ,1
                ,                ,                          ,E. PR LES MBOMIELITHES / A                       ,1
                ,                ,                          ,E. PR LES MBOMIELITHES / B                       ,1
                ,                ,                          ,E. PR LES MBOMIELITHES / C                       ,1
                ,                ,                          ,E. PR LES PETITS POUCETS / A                     ,1
                ,                ,                          ,E. PR LES PETITS POUCETS / B                     ,1
                ,                ,                          ,E. PR TEBAP / A                                  ,1
                ,                ,                          ,E. PR TEBAP / B                                  ,1
                ,                ,                          ,E. PRIVEE ALPHA / A                              ,1
                ,                ,                          ,E. PRIVEE ALPHA / B                              ,1
                ,                ,                          ,E. PRIVEE LE GERMINAL / A                        ,1
                ,                ,                          ,E.MAT NNOM NNAM / A                              ,1
                ,                ,                          ,E.P. NKOLBISSON / A                              ,1
                ,                ,                          ,E.P. NKOLBISSON / B                              ,1
                ,                ,                          ,E.P. NKOLBISSON / C                              ,1
                ,                ,                          ,E.P. NKOLBISSON / D                              ,1
                ,                ,                          ,E.P. NKOLBISSON / E                              ,1
                ,                ,                          ,E.P. NKOLBISSON / F                              ,1
                ,                ,                          ,E.PR B & A / A                                   ,1
                ,                ,                          ,E.PR B & A / B                                   ,1
                ,                ,                          ,E.PR B & A / C                                   ,1
                ,                ,                          ,E.PR MONT ZION / A                               ,1
                ,                ,                          ,E.PR MONT ZION / B                               ,1
                ,                ,                          ,E.PR THERESIA NGONDI / A                         ,1
                ,                ,                          ,E.PR THERESIA NGONDI / B                         ,1
                ,                ,                          ,E.PR THERESIA NGONDI / C                         ,1
                ,                ,                          ,E.PR THERESIA NGONDI / D                         ,1
                ,                ,                          ,ECOLE CATHOLIQUE ST VINCENT / A                  ,1
                ,                ,                          ,ECOLE D'AMELIE / A                               ,1
                ,                ,                          ,ECOLE D'AMELIE / B                               ,1
                ,                ,                          ,ECOLE D'AMELIE / C                               ,1
                ,                ,                          ,ECOLE MAT LES COLOMBES PARFAITES / A             ,1
                ,                ,                          ,ECOLE MAT LES COLOMBES PARFAITES / B             ,1
                ,                ,                          ,ECOLE PUBLIQUE FAM ASSI / A                      ,1
                ,                ,                          ,ECOLE PUBLIQUE FAM ASSI / B                      ,1
                ,                ,                          ,ECOLE ST ESPRIT D'ABOBO / A                      ,1
                ,                ,                          ,ECOLE ST ESPRIT D'ABOBO / B                      ,1
                ,                ,                          ,ECOLE ST ESPRIT D'ABOBO / C                      ,1
                ,                ,                          ,ECOLE ST ESPRIT D'ABOBO / D                      ,1
                ,                ,                          ,G. S. BIL ONANA JEANNE / A                       ,1
                ,                ,                          ,GOUPE SCOLAIRE LA RUCHE / A                      ,1
                ,                ,                          ,GOUPE SCOLAIRE LA RUCHE / B                      ,1
                ,                ,                          ,GOUPE SCOLAIRE LA RUCHE / C                      ,1
                ,                ,                          ,GROUPE SCOLAIRE GABRIELLA / A                    ,1
                ,                ,                          ,GROUPE SCOLAIRE GABRIELLA / B                    ,1
                ,                ,                          ,GROUPE SCOLAIRE GABRIELLA / C                    ,1
                ,                ,                          ,GROUPE SCOLAIRE GABRIELLA / D                    ,1
                ,                ,                          ,GROUPE SCOLAIRE GABRIELLA / E                    ,1
                ,                ,                          ,GROUPE SCOLAIRE GABRIELLA / F                    ,1
                ,                ,                          ,GROUPE SCOLAIRE LA CERTITUDE / A                 ,1
                ,                ,                          ,GROUPE SCOLAIRE LES AGNEAUX / A                  ,1
                ,                ,                          ,GROUPE SCOLAIRE LES AGNEAUX / B                  ,1
                ,                ,                          ,GROUPE SCOLAIRE LES AGNEAUX / C                  ,1
                ,                ,                          ,GROUPE SCOLAIRE LES AGNEAUX / D                  ,1
                ,                ,                          ,GROUPE SCOLAIRE LUCKY KIDS / A                   ,1
                ,                ,                          ,GROUPE SCOLAIRE LUCKY KIDS / B                   ,1
                ,                ,                          ,GROUPE SCOLAIRE LUCKY KIDS / C                   ,1
                ,                ,                          ,HANGAR DE L'ECACEP / A                           ,1
                ,                ,                          ,INSTITUT PRIVE LAIC LE JOURDAIN / A              ,1
                ,                ,                          ,LES BOUTS D'CHOUX / A                            ,1
                ,                ,                          ,LES BOUTS D'CHOUX / B                            ,1
                ,                ,                          ,POSTE AGRICOLE / A                               ,1
                ,                ,                          ,SALLE DES ACTES DE LA MAIRIE / A                 ,1
                ,                ,                          ,SALLE DES ACTES DE LA MAIRIE / B                 ,1
                ,                ,                          ,THE GENIUS TRILINGUAL COLLEGE / A                ,1
                ,                ,                          ,THE GENIUS TRILINGUAL COLLEGE / B                ,1
                ,                ,                          ,THE GENIUS TRILINGUAL COLLEGE / C                ,1
                ,NYONG-ET-KELLE  ,                          ,                                                 ,411
                ,                ,BIYOUHA                   ,                                                 ,15
                ,                ,                          ,ANCIEN CENTRE INTEGRE DE SONG DIBONG / A         ,1
                ,                ,                          ,CHAPELLE CHEFFERIE DE SONG NKOUMONDO / A         ,1
                ,                ,                          ,CHAPELLE EPC BANGSOMBI PLATEAU / A               ,1
                ,                ,                          ,CHAPELLE EPC DE DIBEGUI / A                      ,1
                ,                ,                          ,CHAPELLE EPC DE NSONGA INDUSTRIEL / A            ,1
                ,                ,                          ,CHAPELLE EPC DE SOMAPAN CHEFFERIE / A            ,1
                ,                ,                          ,ECOLE PUBLIQUE DE BIYOUHA / A                    ,1
                ,                ,                          ,ECOLE PUBLIQUE DE MEMEL / A                      ,1
                ,                ,                          ,ECOLE PUBLIQUE DE SOMAPAN / A                    ,1
                ,                ,                          ,ECOLE PUBLIQUE DE SONG BAYANG / A                ,1
                ,                ,                          ,ECOLE PUBLIQUE DE SONG POUA / A                  ,1
                ,                ,                          ,ESPLANADE DE LA CHEFFERIE DE NSONGA / A          ,1
                ,                ,                          ,FOYER SOCIAL DE TOUMNGOG / A                     ,1
                ,                ,                          ,HANGAR DE SOMAPAN / A                            ,1
                ,                ,                          ,HANGAR PLACE DES FETES / A                       ,1
                ,                ,BONDJOCK                  ,                                                 ,25
                ,                ,                          ,CASE CHAPELLE CATH. NDONGO NGWATE / A            ,1
                ,                ,                          ,CASE CHAPELLE CATH.HONDOL SILIYEGUE / A          ,1
                ,                ,                          ,CASE CHAPELLE DE BONDJOCK II / A                 ,1
                ,                ,                          ,CASE CHAPELLE EPC DE BAYEDE / A                  ,1
                ,                ,                          ,CASE CHAPELLE EPC DE BONDE / A                   ,1
                ,                ,                          ,CASE CHAPELLE LOG BITJONG / A                    ,1
                ,                ,                          ,CENTRE DE SANTE INTEGERE DE TOMEL / A            ,1
                ,                ,                          ,CENTRE DE SANTE INTEGRE DE LINDOI / A            ,1
                ,                ,                          ,CENTRE DE SANTE INTEGRE DE MAGBE / A             ,1
                ,                ,                          ,CENTRE DE SANTE INTEGRE DE MUNGWATE / A          ,1
                ,                ,                          ,CES DE LINDOI / A                                ,1
                ,                ,                          ,ECOLE CATHOLIQUE DE LINDOI CENTRE / A            ,1
                ,                ,                          ,ECOLE PUBLIQUE DE BAGBA / A                      ,1
                ,                ,                          ,ECOLE PUBLIQUE DE BOMABOM / A                    ,1
                ,                ,                          ,ECOLE PUBLIQUE DE BONDE / A                      ,1
                ,                ,                          ,ECOLE PUBLIQUE DE BONDJOCK / A                   ,1
                ,                ,                          ,ECOLE PUBLIQUE DE HONDOL CENTRE / A              ,1
                ,                ,                          ,ECOLE PUBLIQUE DE LINDOI / A                     ,1
                ,                ,                          ,ECOLE PUBLIQUE DE LOLA / A                       ,1
                ,                ,                          ,ECOLE PUBLIQUE DE NKONG-NKENI / A                ,1
                ,                ,                          ,ESPL. CHAPELLE EPC DE DE LISS / A                ,1
                ,                ,                          ,ESPLANADE DE LA CHAPELLE EPC LEPMAMB / A         ,1
                ,                ,                          ,FOYER PROTESTANT DE BONDJOCK / A                 ,1
                ,                ,                          ,HANGAR DU CARR. MARCHE DE SEHA / A               ,1
                ,                ,                          ,HANGAR DU CARREF. BARNABE DE MBOLO / A           ,1
                ,                ,BOT-MAKAK                 ,                                                 ,56
                ,                ,                          ,C.E.S DE MBEBE-KIKOT / A                         ,1
                ,                ,                          ,C.E.S DE PAN-MAKAK / A                           ,1
                ,                ,                          ,CASE CHAPELLE DE BONGA CARREFOUR / A             ,1
                ,                ,                          ,CASE CHAPELLE DE EKA'A / A                       ,1
                ,                ,                          ,CASE CHAPELLE DE HENGUENGUE / A                  ,1
                ,                ,                          ,CASE CHAPELLE DE LELEP II / A                    ,1
                ,                ,                          ,CASE CHAPELLE DE MANDJOCK / A                    ,1
                ,                ,                          ,CASE CHAPELLE DE MANGUENDA HEGBA / A             ,1
                ,                ,                          ,CASE CHAPELLE DE MBANGUE II / A                  ,1
                ,                ,                          ,CASE CHAPELLE DE MBONGA CARREFOUR / A            ,1
                ,                ,                          ,CASE CHAPELLE DE NDJOCK-BANE / A                 ,1
                ,                ,                          ,CASE CHAPELLE DE NGWANGWANDA / A                 ,1
                ,                ,                          ,CASE CHAPELLE DU CARREFOUR NGUEBA / A            ,1
                ,                ,                          ,CASE COMMUNAUTAIRE DE MANGUEDA II / A            ,1
                ,                ,                          ,CASE SANTE DE HEGBA / A                          ,1
                ,                ,                          ,CETIC ANNEXE DE BOT-MAKAK / A                    ,1
                ,                ,                          ,CETIC DE BOT-MAKAK / A                           ,1
                ,                ,                          ,ECOLE CATHOLIQUE NKONG-NGADA / A                 ,1
                ,                ,                          ,ECOLE MATERNELLE DE BISSOMBE / A                 ,1
                ,                ,                          ,ECOLE PUBLIQUE DE BISSOMBE / A                   ,1
                ,                ,                          ,ECOLE PUBLIQUE DE BOBOG I / A                    ,1
                ,                ,                          ,ECOLE PUBLIQUE DE BOBOG II / A                   ,1
                ,                ,                          ,ECOLE PUBLIQUE DE HEGBA / A                      ,1
                ,                ,                          ,ECOLE PUBLIQUE DE KOMBE / A                      ,1
                ,                ,                          ,ECOLE PUBLIQUE DE LIBONG / A                     ,1
                ,                ,                          ,ECOLE PUBLIQUE DE MABOBOL / A                    ,1
                ,                ,                          ,ECOLE PUBLIQUE DE MAKING / A                     ,1
                ,                ,                          ,ECOLE PUBLIQUE DE MANDJACK / A                   ,1
                ,                ,                          ,ECOLE PUBLIQUE DE MANGUEDA I / A                 ,1
                ,                ,                          ,ECOLE PUBLIQUE DE MANOYOI / A                    ,1
                ,                ,                          ,ECOLE PUBLIQUE DE MBANDA / A                     ,1
                ,                ,                          ,ECOLE PUBLIQUE DE MBANGUE I / A                  ,1
                ,                ,                          ,ECOLE PUBLIQUE DE MINSE / A                      ,1
                ,                ,                          ,ECOLE PUBLIQUE DE MINSONGUE / A                  ,1
                ,                ,                          ,ECOLE PUBLIQUE DE MINTABA / A                    ,1
