COUNCIL_NAME,POLLING_STATION,inscrits,votants,votes,nuls,blancs,biya,garga,kamto,cabral,matomba,akere,ndam,ndifor,osih
Bana,,,,,,,,,,,,,,,
Bana,Case Communautaire Bakam A,333,128,,0,1,49,2,59,6,5,2,0,3,1
Bana,Case Communautaire Bapouh A,294,225,,1,0,49,2,100,6,5,5,0,3,1
Bana,Ecole Cebec Konte A,28,19,,0,0,5,0,13,0,0,0,0,1,0
Bana,Ecole Maternelle Basso B,50,27,,0,0,11,0,12,1,1,0,0,0,1
Bana,Ecole Publique Bana Centre B,248,136,,0,0,85,0,37,6,0,0,0,7,1
Bana,Ecole Publique Bandoumkassa A,236,109,0,0,0,45,1,56,0,3,4,0,0,0
Bana,Lycee Classique Bana A,242,105,,1,0,40,3,54,1,0,2,1,1,2
Bana,Tribune Du Marche Bana B,376,76,,0,0,20,3,38,1,0,1,0,5,2
