COUNCIL_NAME,POLLING_STATION,inscrits,votants,votes,nuls,blancs,biya,garga,kamto,cabral,matomba,akere,ndam,ndifor,osih
Banwa,,,,,,,,,,,,,,,
Banwa,Centre De Jeunesse De Banwa Centre A,311,187,186,1,0,37,1,134,1,0,3,1,1,8
Banwa,Delegation Agriculture Banwa A,71,38,38,0,0,8,1,27,0,0,0,0,0,0
Banwa,E P Banwa Centre A,143,102,102,0,0,35,18,57,1,1,1,1,1,3
Banwa,Ecole Cath De Moumee Marche A,597,387,381,3,5,147,4,189,5,3,4,2,4,13
Banwa,Ecole Cath De Moumee Marche B,227,155,152,3,0,53,3,74,3,2,1,1,0,15
Banwa,Ep Fotsi Nord A,61,33,33,0,0,7,0,26,0,0,0,0,0,0
Banwa,Foyer Banwa Centre A,364,222,220,2,0,44,1,156,0,0,3,0,11,5
