COUNCIL_NAME,POLLING_STATION,inscrits,votants,votes,nuls,blancs,biya,garga,kamto,cabral,matomba,akere,ndam,ndifor,osih
Yaounde Iii,Ecole La Rosiere H,382,179,179,0,0,54,0,90,17,0,1,0,2,15
Yaounde Iii,Ecole La Rosiere I,382,159,159,0,0,40,0,85,19,1,0,0,1,13
Yaounde Iii,Ecole La Rosiere J,378,201,198,3,0,45,1,98,29,0,1,0,3,21
Yaounde Iii,Ecole La Rosiere K,358,208,208,0,0,81,0,89,16,0,1,0,5,16
Yaounde Iii,Ecole Les Colibris A,430,266,264,01,01,178,1,31,45,0,0,0,0,9
Yaounde Iii,Ecole Les Colibris B,395,212,210,2,0,118,2,44,34,1,2,2,1,6
Yaounde Iii,Ecole Les Colibris C,420,254,254,0,0,137,0,69,40,0,0,0,2,6
Yaounde Iii,Ecole Les Colibris D,387,179,179,0,0,115,1,25,27,1,1,0,0,7
Yaounde Iii,Ecole Les Colibris E,186,186,185,1,0,109,0,39,30,0,1,0,1,5
Yaounde Iii,Ecole Les Colibris F,391,203,201,02,02,113,00,40,45,01,00,00,00,02
Yaounde Iii,Ecole Les Colibris H,386,173,172,0,1,90,0,48,28,1,0,0,0,6
Yaounde Iii,Ecole Les Colibris I,405,177,175,2,0,87,0,39,44,0,0,0,0,5
Yaounde Iii,Ecole Les Colibris J,367,171,171,0,0,87,3,42,27,1,0,1,2,8
Yaounde Iii,Ecole Les Colibris K,396,213,211,2,0,106,1,47,50,2,1,0,1,3
Yaounde Iii,Ecole Pub Mekoumbou Ii A,70,60,58,02,00,55,00,01,01,00,00,00,00,01
Yaounde Iii,Ecole Pub Ntouessong I A,95,90,93,00,00,87,00,06,00,00,00,00,00,00
Yaounde Iii,English High School A,397,217,217,06,,109,02,58,18,02,00,01,03,18
Yaounde Iii,English High School B,397,188,188,00,,73,01,67,27,00,02,01,00,17
Yaounde Iii,English High School C,400,207,207,02,,88,01,73,29,01,00,01,01,10
Yaounde Iii,English High School D,383,154,154,00,,69,01,47,25,00,00,01,02,10
Yaounde Iii,Esplanade Dakar Ii A,428,232,230,2,0,196,00,10,19,0,0,0,4,1
Yaounde Iii,Esplanade Dakar Ii B,139,66,66,0,0,52,1,6,6,0,0,0,0,1
Yaounde Iii,Eta Maj Comp Gendarmerie Efoulan A,61,26,26,0,0,16,0,8,1,0,0,0,0,1
Yaounde Iii,Fountain Nursery And Primary School A,322,179,178,00,01,50,00,105,04,01,00,01,03,14
Yaounde Iii,Fountain Nursery And Primary School B,341,180,183,00,00,59,00,94,13,00,00,01,01,15
Yaounde Iii,Fountain Nursery And Primary School C,335,202,201,00,01,37,01,137,13,01,00,00,03,09
Yaounde Iii,Fountain Nursery And Primary School D,325,154,154,0,0,51,1,68,19,0,0,0,3,12
Yaounde Iii,Fountain Nursery And Primary School G,135,135,134,1,0,18,0,101,8,0,0,1,2,4
Yaounde Iii,Foyer Etoa B,302,179,177,00,02,114,00,34,28,01,00,00,00,00
Yaounde Iii,Foyer Social A,402,226,226,0,0,110,1,81,15,1,2,0,2,14
Yaounde Iii,Foyer Social B,353,144,143,1,1,53,1,63,12,0,0,0,3,11
Yaounde Iii,Foyer Social C,453,223,221,1,1,61,1,100,31,4,2,0,1,21
Yaounde Iii,Foyer Social D,112,10,10,00,00,05,00,02,02,00,00,00,00,01
Yaounde Iii,Gpe Scolaire Les Sapins Montee Jouvence A,356,199,199,1,0,77,2,92,16,0,1,1,0,9
Yaounde Iii,Gpe Scolaire Les Sapins Montee Jouvence B,349,210,208,1,0,52,0,130,16,1,0,0,3,6
Yaounde Iii,Gpe Scolaire Les Sapins Montee Jouvence C,317,198,195,1,2,61,2,106,17,3,1,1,0,4
Yaounde Iii,Gpe Scolaire Les Sapins Montee Jouvence D,301,176,176,00,00,32,01,125,08,00,01,00,00,09
Yaounde Iii,Gpe Scolaire Les Sapins Montee Jouvence E,337,181,179,0,2,39,0,108,19,0,0,0,3,10
Yaounde Iii,Gpe Scolaire Les Sapins Montee Jouvence F,378,180,180,2,0,59,2,90,13,0,0,1,1,12
Yaounde Iii,Gpe Scolaire Les Sapins Montee Jouvence G,297,134,12,0,2,45,1,66,15,0,0,0,0,4
Yaounde Iii,Gpe Scolaire Les Sapins Montee Jouvence H,338,176,176,0,0,41,0,114,16,0,0,0,0,5
Yaounde Iii,Gpe Scolaire Les Sapins Montee Jouvence I,330,127,124,3,0,25,1,74,18,0,0,0,0,6
Yaounde Iii,Gpe Scolaire Les Sapins Montee Jouvence J,402,193,192,0,1,48,0,109,26,0,0,0,0,9
Yaounde Iii,Gpe Scolaire Les Sapins Montee Jouvence L,370,194,194,0,1,68,0,92,24,0,0,1,0,8
Yaounde Iii,Gpe Scolaire Les Sapins Montee Jouvence N,310,25,29,2,2,7,0,13,4,0,0,0,0,3
Yaounde Iii,J E C A,298,162,161,1,0,129,0,16,12,0,0,0,2,2
Yaounde Iii,J E C B,266,128,127,1,0,93,0,12,17,0,0,0,1,4
Yaounde Iii,Jumping Jack School A,388,165,165,0,0,79,0,51,10,0,0,1,4,20
Yaounde Iii,Jumping Jack School C,387,161,161,0,0,60,0,67,13,2,0,0,2,17
Yaounde Iii,Jumping Jack School D,378,131,134,0,0,28,0,67,14,2,0,1,4,17
Yaounde Iii,Jumping Jack School E,344,127,129,0,0,34,3,59,18,2,0,1,0,12
Yaounde Iii,Lycee Dafanoyoa A,156,119,119,00,00,114,01,03,0,01,00,00,00,00
Yaounde Iii,Lycee Efoulan A,396,228,228,01,00,137,00,47,29,02,00,00,02,10
Yaounde Iii,Lycee Efoulan B,386,202,202,00,00,131,02,33,33,00,00,00,00,03
Yaounde Iii,Lycee Efoulan C,376,192,188,04,04,113,01,38,25,01,00,01,01,08
Yaounde Iii,Lycee Efoulan D,380,164,164,01,01,104,00,307,20,00,01,00,02,06
Yaounde Iii,Lycee Efoulan E,384,169,169,00,00,84,00,48,21,01,01,01,01,11
Yaounde Iii,Lycee Efoulan F,385,181,181,01,00,82,00,54,38,01,00,01,00,04
Yaounde Iii,Mada Dominion Bil Nursery Pr School A,372,153,152,01,0,51,00,59,15,00,00,00,01,26
Yaounde Iii,Mada Dominion Bil Nursery Pr School B,384,135,134,01,00,41,01,53,18,01,00,00,04,16
